"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Set-AzureADTenantDetail","AzureAD","Update-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.ReadWrite.All;DeviceManagementServiceConfig.ReadWrite.All;Organization.ReadWrite.All","PATCH /organization/{organization-id}","True","False"
"Set-MsolServicePrincipal","MSOnline","Update-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","PATCH /servicePrincipals/{servicePrincipal-id}","True","False"
"New-AzureADGroup","AzureAD","New-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All;Group.ReadWrite.All","POST /groups","True","False"
"Get-MsolScopedRoleMember","MSOnline","Get-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All;RoleManagement.Read.Directory;RoleManagement.ReadWrite.Directory","GET /directoryRoles/{directoryRole-id}/scopedMembers","True","False"
"Select-AzureADGroupIdsUserIsMemberOf","AzureAD","Get-MgUserMemberOf","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;GroupMember.Read.All;User.Read","GET /users/{user-id}/memberOf","True","False"
"Set-AzureADApplication","AzureAD","Update-MgApplication","Microsoft.Graph.Applications","Application.ReadWrite.All","PATCH /applications/{application-id}","True","False"
"Remove-AzureADMSGroupLifecyclePolicy","AzureAD","Remove-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.ReadWrite.All","DELETE /groupLifecyclePolicies/{groupLifecyclePolicy-id}","True","False"
"Add-AzureADApplicationOwner","AzureAD","New-MgApplicationOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","POST /applications/{application-id}/owners/$ref","True","False"
"Set-MsolPartnerInformation","MSOnline","","","","","False","False"
"Get-MsolDeviceRegistrationServicePolicy","MSOnline","Get-MgPolicyDeviceRegistrationPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.All;Policy.ReadWrite.DeviceConfiguration","GET /policies/deviceRegistrationPolicy","True","False"
"New-AzureADMSPermissionGrantConditionSet","AzureAD","New-MgPolicyPermissionGrantPolicyExclude","Microsoft.Graph.Identity.SignIns","Policy.ReadWrite.PermissionGrant","POST /policies/permissionGrantPolicies/{permissionGrantPolicy-id}/excludes","True","False"
"Get-AzureADDeviceRegisteredOwner","AzureAD","Get-MgDeviceRegisteredOwner","Microsoft.Graph.Identity.DirectoryManagement","Device.Read.All;Directory.Read.All;Directory.ReadWrite.All","GET /devices/{device-id}/registeredOwners","True","False"
"New-MsolServicePrincipalAddresses","MSOnline","New-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /servicePrincipals","True","False"
"Get-AzureADTrustedCertificateAuthority","AzureAD","Get-MgOrganizationCertificateBasedAuthConfiguration","Microsoft.Graph.Identity.SignIns","Organization.Read.All;Organization.ReadWrite.All","GET /organization/{organization-id}/certificateBasedAuthConfiguration","True","False"
"Get-MsolDomain","MSOnline","Get-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Domain.Read.All;Domain.ReadWrite.All","GET /domains","True","False"
"Get-AzureADMSPermissionGrantConditionSet","AzureAD","Get-MgPolicyPermissionGrantPolicyExclude","Microsoft.Graph.Identity.SignIns","Directory.Read.All;Policy.Read.PermissionGrant","GET /policies/permissionGrantPolicies/{permissionGrantPolicy-id}/excludes","True","False"
"New-AzureADUserAppRoleAssignment","AzureAD","New-MgUserAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All","POST /users/{user-id}/appRoleAssignments","True","False"
"Get-AzureADServicePrincipalMembership","AzureAD","Get-MgServicePrincipalTransitiveMemberOf","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals/{servicePrincipal-id}/transitiveMemberOf","True","False"
"Remove-MsolContact","MSOnline","Remove-MgContact","Microsoft.Graph.Identity.DirectoryManagement","","DELETE /contacts/{orgContact-id}","True","False"
"Set-MsolDirSyncEnabled","MSOnline","Update-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.ReadWrite.All;DeviceManagementServiceConfig.ReadWrite.All;Organization.ReadWrite.All","PATCH /organization/{organization-id}","True","False"
"Get-AzureADDirectoryRole","AzureAD","Get-MgDirectoryRole","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All;RoleManagement.Read.Directory;RoleManagement.ReadWrite.Directory","GET /directoryRoles","True","False"
"Set-AzureADApplicationProxyConnectorGroup","AzureAD","","","","","False","False"
"Get-AzureADApplicationPasswordCredential","AzureAD","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All","GET /applications","True","False"
"Get-AzureADServiceAppRoleAssignedTo","AzureAD","Get-MgServicePrincipalAppRoleAssignedTo","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals/{servicePrincipal-id}/appRoleAssignedTo","True","False"
"New-MsolUser","MSOnline","New-MgUser","Microsoft.Graph.Users","Directory.ReadWrite.All;User.ReadWrite.All","POST /users","True","False"
"Restore-MsolUser","MSOnline","","","","","False","False"
"Get-AzureADMSNamedLocationPolicy","AzureAD","Get-MgIdentityConditionalAccessNamedLocation","Microsoft.Graph.Identity.SignIns","Policy.Read.All","GET /identity/conditionalAccess/namedLocations","True","False"
"Get-MsolContact","MSOnline","Get-MgContact","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All;OrgContact.Read.All","GET /contacts","True","False"
"Get-AzureADMSLifecyclePolicyGroup","AzureAD","Get-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.Read.All;Directory.ReadWrite.All","GET /groupLifecyclePolicies","True","False"
"New-MsolDomain","MSOnline","New-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","POST /domains","True","False"
"Get-AzureADUser","AzureAD","Get-MgUser","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;User.Read.All;User.ReadBasic.All;User.ReadWrite.All","GET /users","True","False"
"Set-AzureADApplicationLogo","AzureAD","Set-MgApplicationLogo","Microsoft.Graph.Applications","Application.ReadWrite.All","PUT /applications/{application-id}/logo","True","False"
"Enable-AzureADDirectoryRole","AzureAD","New-MgDirectoryRoleTemplate","Microsoft.Graph.Identity.DirectoryManagement","","POST /directoryRoleTemplates","True","False"
"Get-AzureADMSIdentityProvider","AzureAD","Get-MgIdentityProvider","Microsoft.Graph.Identity.SignIns","IdentityProvider.Read.All;IdentityProvider.ReadWrite.All","GET /identity/identityProviders","True","False"
"Remove-MsolRoleMember","MSOnline","","","","","False","False"
"New-MsolGroup","MSOnline","New-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All;Group.ReadWrite.All","POST /groups","True","False"
"Get-AzureADDomainNameReference","AzureAD","Get-MgDomainDomainNameReferenceByRef","","","","False","False"
"Remove-AzureADMSScopedRoleMembership","AzureAD","Remove-MgUserScopedRoleMemberOf","Microsoft.Graph.Identity.DirectoryManagement","","DELETE /users/{user-id}/scopedRoleMemberOf/{scopedRoleMembership-id}","True","False"
"Reset-AzureADMSLifeCycleGroup","AzureAD","Invoke-MgRenewGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All;Group.ReadWrite.All","POST /groups/{group-id}/renew","True","False"
"Get-MsolUser","MSOnline","Get-MgUser","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;User.Read.All;User.ReadBasic.All;User.ReadWrite.All","GET /users","True","False"
"Remove-AzureADMSNamedLocationPolicy","AzureAD","Remove-MgIdentityConditionalAccessNamedLocation","Microsoft.Graph.Identity.SignIns","Policy.Read.All;Policy.ReadWrite.ConditionalAccess","DELETE /identity/conditionalAccess/namedLocations/{namedLocation-id}","True","False"
"Add-AzureADMSServicePrincipalDelegatedPermissionClassification","AzureAD","New-MgServicePrincipalDelegatedPermissionClassification","Microsoft.Graph.Applications","Policy.ReadWrite.PermissionGrant","POST /servicePrincipals/{servicePrincipal-id}/delegatedPermissionClassifications","True","False"
"Redo-MsolProvisionContact","MSOnline","","","","","False","False"
"Revoke-AzureADUserAllRefreshToken","AzureAD","Invoke-MgInvalidateUserRefreshToken","Microsoft.Graph.Users.Actions","Directory.ReadWrite.All;User.ReadWrite","POST /users/{user-id}/invalidateAllRefreshTokens","True","False"
"Remove-AzureADApplicationProxyApplicationConnectorGroup","AzureAD","","","","","False","False"
"Get-MsolGroup","MSOnline","Get-MgGroup","Microsoft.Graph.Groups","Directory.Read.All;Directory.ReadWrite.All;Group.Read.All;Group.ReadWrite.All;GroupMember.Read.All","GET /groups","True","False"
"Remove-AzureADMSGroup","AzureAD","Remove-MgGroup","Microsoft.Graph.Groups","Group.ReadWrite.All","DELETE /groups/{group-id}","True","False"
"Get-AzureADUserDirectReport","AzureAD","Get-MgUserDirectReport","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;User.Read;User.Read.All;User.ReadBasic.All;User.ReadWrite.All","GET /users/{user-id}/directReports","True","False"
