"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Reset-MsolStrongAuthenticationMethodByUpn","MSOnline","","","","","False","False"
"Remove-MsolGroupMember","MSOnline","Remove-MgGroupMemberByRef","Microsoft.Graph.Groups","Directory.ReadWrite.All;Group.ReadWrite.All;GroupMember.ReadWrite.All","DELETE /groups/{group-id}/members/{directoryObject-id}/$ref","True","False"
"Get-AzureADUserManager","AzureAD","Get-MgUserManager","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;User.Read.All;User.ReadWrite.All","GET /users/{user-id}/manager","True","False"
"Update-AzureADSignedInUserPassword","AzureAD","Update-MgUserPassword","Microsoft.Graph.Users.Actions","Directory.AccessAsUser.All","POST /users/{user-id}/changePassword","True","False"
"Restore-AzureADMSDeletedDirectoryObject","AzureAD","","","","","False","False"
"Remove-AzureADMSApplicationKey","AzureAD","Remove-MgApplicationKey","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.ReadWrite.All","POST /applications/{application-id}/removeKey","True","False"
"New-AzureADMSIdentityProvider","AzureAD","New-MgIdentityProvider","Microsoft.Graph.Identity.SignIns","IdentityProvider.ReadWrite.All","POST /identity/identityProviders","True","False"
"Set-MsolPasswordPolicy","MSOnline","","","","","False","False"
"Get-AzureADContactDirectReport","AzureAD","Get-MgContactDirectReport","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Group.Read.All;OrgContact.Read.All","GET /contacts/{orgContact-id}/directReports","True","False"
"Remove-AzureADApplication","AzureAD","Remove-MgApplication","Microsoft.Graph.Applications","Application.ReadWrite.All","DELETE /applications/{application-id}","True","False"
"Get-AzureADDirectoryRoleMember","AzureAD","Get-MgDirectoryRoleMember","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All;RoleManagement.Read.Directory;RoleManagement.ReadWrite.Directory","GET /directoryRoles/{directoryRole-id}/members","True","False"
"Get-AzureADServicePrincipalKeyCredential","AzureAD","Get-MgServicePrincipal","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals","True","False"
"Remove-AzureADUserAppRoleAssignment","AzureAD","Remove-MgUserAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All","DELETE /users/{user-id}/appRoleAssignments/{appRoleAssignment-id}","True","False"
"Get-AzureADCurrentSessionInfo","AzureAD","Get-MgContext","Microsoft.Graph.Authentication","","","True","False"
"New-AzureADServicePrincipalPasswordCredential","AzureAD","Add-MgServicePrincipalPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /servicePrincipals/{servicePrincipal-id}/addPassword","True","False"
