"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","AadParamName","GraphParamName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Get-AzureADServiceAppRoleAssignment","AzureAD","Get-MgServicePrincipalAppRoleAssignment","","Top","Top","","","False","False"
"Set-AzureADUserLicense","AzureAD","Set-MgUserLicense","","ObjectId","","","","False","False"
"Set-AzureADUserLicense","AzureAD","Set-MgUserLicense","","AssignedLicenses","","","","False","False"
"Add-MsolAdministrativeUnitMember","MSOnline","New-MgDirectoryAdministrativeUnitMemberByRef","","AdministrativeUnitObjectId","","","","False","False"
"Add-MsolAdministrativeUnitMember","MSOnline","New-MgDirectoryAdministrativeUnitMemberByRef","","AdministrativeUnitMemberObjectId","","","","False","False"
"Add-MsolAdministrativeUnitMember","MSOnline","New-MgDirectoryAdministrativeUnitMemberByRef","","TenantId","","","","False","False"
"New-MsolAdministrativeUnit","MSOnline","New-MgDirectoryAdministrativeUnit","","DisplayName","DisplayName","","","False","False"
"New-MsolAdministrativeUnit","MSOnline","New-MgDirectoryAdministrativeUnit","","Description","Description","","","False","False"
"New-MsolAdministrativeUnit","MSOnline","New-MgDirectoryAdministrativeUnit","","TenantId","","","","False","False"
"Remove-AzureADServicePrincipalPasswordCredential","AzureAD","Remove-MgServicePrincipalPassword","","ObjectId","","","","False","False"
"Remove-AzureADServicePrincipalPasswordCredential","AzureAD","Remove-MgServicePrincipalPassword","","KeyId","KeyId","","","False","False"
"Remove-AzureADMSIdentityProvider","AzureAD","Remove-MgIdentityProvider","","Id","","","","False","False"
"Get-AzureADDomain","AzureAD","Get-MgDomain","","Name","","","","False","False"
"Get-AzureADUserAppRoleAssignment","AzureAD","Get-MgUserAppRoleAssignment","","ObjectId","","","","False","False"
"Get-AzureADUserAppRoleAssignment","AzureAD","Get-MgUserAppRoleAssignment","","All","All","","","False","False"
"Get-AzureADUserAppRoleAssignment","AzureAD","Get-MgUserAppRoleAssignment","","Top","Top","","","False","False"
"Select-AzureADGroupIdsContactIsMemberOf","AzureAD","Get-MgContactMemberOf","","ObjectId","","","","False","False"
"Select-AzureADGroupIdsContactIsMemberOf","AzureAD","Get-MgContactMemberOf","","GroupIdsForMembershipCheck","","","","False","False"
"Get-AzureADMSPermissionGrantPolicy","AzureAD","Get-MgPolicyPermissionGrantPolicy","","Id","","","","False","False"
"Get-AzureADApplicationProxyApplication","AzureAD","","","ObjectId","","","","False","False"
"Set-AzureADUserManager","AzureAD","Set-MgUserManagerByRef","","ObjectId","","","","False","False"
"Set-AzureADUserManager","AzureAD","Set-MgUserManagerByRef","","RefObjectId","","","","False","False"
"Enable-MsolDevice","MSOnline","Update-MgDevice","","DeviceId","DeviceId","","","False","False"
"Enable-MsolDevice","MSOnline","Update-MgDevice","","Force","","","","False","False"
"Enable-MsolDevice","MSOnline","Update-MgDevice","","ObjectId","","","","False","False"
"Get-AzureADUserLicenseDetail","AzureAD","Get-MgUserLicenseDetail","","ObjectId","","","","False","False"
"New-AzureADMSInvitation","AzureAD","New-MgInvitation","","InvitedUserDisplayName","InvitedUserDisplayName","","","False","False"
"New-AzureADMSInvitation","AzureAD","New-MgInvitation","","InvitedUserEmailAddress","InvitedUserEmailAddress","","","False","False"
"New-AzureADMSInvitation","AzureAD","New-MgInvitation","","SendInvitationMessage","SendInvitationMessage","","","False","False"
"New-AzureADMSInvitation","AzureAD","New-MgInvitation","","InviteRedirectUrl","InviteRedirectUrl","","","False","False"
"New-AzureADMSInvitation","AzureAD","New-MgInvitation","","InvitedUser","InvitedUser","","","False","False"
"New-AzureADMSInvitation","AzureAD","New-MgInvitation","","InvitedUserMessageInfo","InvitedUserMessageInfo","","","False","False"
"New-AzureADMSInvitation","AzureAD","New-MgInvitation","","InvitedUserType","InvitedUserType","","","False","False"
"Get-AzureADMSDeletedDirectoryObject","AzureAD","Get-MgDirectoryDeletedItem","","Id","","","","False","False"
"Get-MsolCompanyAllowedDataLocation","MSOnline","","","TenantId","","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","","ExtensionProperty","","","","False","False"
